Date,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential
9/8/1985,1985,1,DEN,STL,AWAY,16,20,36,,Grass,,,,38,-1,0,16,0,0,0,23,35,23:35:00,13,,,,61,277,4.54,,18,63,3.5,,39,18,214,,1,5.49,11.89,46.15,,,,,,,,,,,,28,8,46,2,2,4,36,,,,7,287,41,3,3,0,3,7,0,10,0,36,25,36:25:00,19,,,,68,285,4.19,,37,147,3.97,,29,16,138,,2,4.76,8.63,55.17,,,,,,,,,,,,11,4,25,2,1,2,15,,,,5,185,37,3,3,0
9/8/1985,1985,1,DET,ATL,AWAY,28,27,55,,Grass,,,,42,3,0,14,14,0,0,26,27,26:27:00,16,,,,60,286,4.77,,33,130,3.94,,23,9,156,,2,6.78,17.33,39.13,,,,,,,,,,,,28,11,84,0,0,4,32,,,,5,225,45,2,1,-1,14,7,0,6,0,33,33,33:33:00,21,,,,67,300,4.48,,40,160,4,,23,16,140,,0,6.09,8.75,69.57,,,,,,,,,,,,58,8,44,3,1,4,39,,,,6,240,40,1,2,1
9/8/1985,1985,1,GNB,NWE,AWAY,20,26,46,,Artificial,,,,45,4,0,6,0,14,0,23,13,23:13:00,16,,,,52,205,3.94,,19,59,3.11,,29,14,146,,1,5.03,10.43,48.28,,,,,,,,,,,,43,5,43,1,1,4,39,,,,6,288,48,2,5,3,7,12,0,7,0,36,47,36:47:00,26,,,,76,410,5.39,,41,208,5.07,,28,21,202,,1,7.21,9.62,75,,,,,,,,,,,,26,10,63,6,4,7,59,,,,4,188,47,5,2,-3
9/8/1985,1985,1,IND,PIT,AWAY,3,45,48,,Artificial,,,,40.5,10,3,0,0,0,0,21,56,21:56:00,9,,,,47,159,3.38,,16,47,2.94,,30,13,112,,2,3.73,8.62,43.33,,,,,,,,,,,,20,6,48,2,0,1,5,,,,6,258,43,2,1,-1,7,17,7,14,0,38,4,38:04:00,30,,,,74,445,6.01,,41,163,3.98,,31,21,282,,1,9.1,13.43,67.74,,,,,,,,,,,,53,3,20,2,0,2,6,,,,2,90,45,1,2,1
9/8/1985,1985,1,KAN,NOR,AWAY,47,27,74,,Dome,,,,43,-1.5,10,16,7,14,0,30,1,30:01:00,22,,,,68,504,7.41,,29,109,3.76,,35,22,395,,1,11.29,17.95,62.86,,,,,,,,,,,,57,8,65,4,2,4,24,,,,3,120,40,3,4,1,3,0,0,24,0,29,59,29:59:00,19,,,,77,304,3.95,,27,136,5.04,,48,14,168,,4,3.5,12,29.17,,,,,,,,,,,,6,10,75,0,0,2,2,,,,5,190,38,4,3,-1
9/8/1985,1985,1,MIA,HOU,AWAY,23,26,49,,Dome,,,,45,-7.5,10,3,3,7,0,28,20,28:20:00,17,,,,59,360,6.1,,25,69,2.76,,31,19,291,,2,9.39,15.32,61.29,,,,,,,,,,,,62,5,38,2,1,3,41,,,,2,86,43,3,4,1,0,9,3,14,0,31,40,31:40:00,21,,,,58,394,6.79,,41,165,4.02,,17,12,229,,1,13.47,19.08,70.59,,,,,,,,,,,,6,7,57,4,3,0,0,,,,2,84,42,4,3,-1
9/8/1985,1985,1,NYJ,OAK,AWAY,0,31,31,,Grass,,,,40.5,9,0,0,0,0,0,28,21,28:21:00,14,,,,57,193,3.39,,24,62,2.58,,29,16,131,,2,4.52,8.19,55.17,,,,,,,,,,,,0,2,10,1,0,4,24,,,,7,294,42,2,0,-2,7,14,7,3,0,31,39,31:39:00,19,,,,67,356,5.31,,35,122,3.49,,22,15,234,,0,10.64,15.6,68.18,,,,,,,,,,,,125,7,60,0,0,10,61,,,,4,144,36,0,2,2
9/8/1985,1985,1,PHI,NYG,AWAY,0,21,21,,Artificial,,,,38.5,6,0,0,0,0,0,24,16,24:16:00,11,,,,50,168,3.36,,16,80,5,,32,13,88,,1,2.75,6.77,40.63,,,,,,,,,,,,37,11,74,1,0,2,8,,,,11,451,41,1,2,1,14,0,0,7,0,35,44,35:44:00,21,,,,75,317,4.23,,46,192,4.17,,21,8,125,,1,5.95,15.63,38.1,,,,,,,,,,,,112,3,20,2,1,8,73,,,,5,230,46,2,1,-1
9/8/1985,1985,1,SDG,BUF,AWAY,14,9,23,,Artificial,,,,47.5,-6,7,7,0,0,0,26,17,26:17:00,17,,,,62,308,4.97,,32,100,3.13,,29,16,208,,1,7.17,13,55.17,,,,,,,,,,,,31,1,37,2,1,1,6,,,,7,322,46,2,3,1,3,6,0,0,0,33,43,33:43:00,19,,,,72,455,6.32,,25,84,3.36,,46,31,371,,2,8.07,11.97,67.39,,,,,,,,,,,,28,7,50,1,1,1,10,,,,5,195,39,3,2,-1
9/8/1985,1985,1,SEA,CIN,AWAY,28,24,52,,Artificial,,,,41.5,-3.5,7,14,0,7,0,28,4,28:04:00,20,,,,55,297,5.4,,27,91,3.37,,25,16,206,,0,8.24,12.88,64,,,,,,,,,,,,95,5,40,0,0,3,21,,,,5,190,38,0,1,1,0,10,14,0,0,31,56,31:56:00,19,,,,59,344,5.83,,33,151,4.58,,23,13,193,,0,8.39,14.85,56.52,,,,,,,,,,,,72,5,35,3,1,3,30,,,,4,164,41,1,0,-1
