HOMEteam,AWAYteam,HOMEscore,AWAYscore,AWAYCompletionPercentage,AWAYFirstDowns,AWAYFirstDownsByPassing,AWAYFirstDownsByPenalty,AWAYFirstDownsByRushing,AWAYFourthDownAttempts,AWAYFourthDownConversions,AWAYFourthDownPercentage,AWAYFumbles,AWAYFumblesLost,AWAYGiveaways,AWAYGoalToGoAttempts,AWAYGoalToGoConversions,AWAYOffensivePlays,AWAYOffensiveYards,AWAYOffensiveYardsPerPlay,AWAYOpponentCompletionPercentage,AWAYOpponentFirstDowns,AWAYOpponentFirstDownsByPassing,AWAYOpponentFirstDownsByPenalty,AWAYOpponentFirstDownsByRushing,AWAYOpponentFourthDownAttempts,AWAYOpponentFourthDownConversions,AWAYOpponentFourthDownPercentage,AWAYOpponentFumbles,AWAYOpponentFumblesLost,AWAYOpponentGiveaways,AWAYOpponentGoalToGoAttempts,AWAYOpponentGoalToGoConversions,AWAYOpponentOffensivePlays,AWAYOpponentOffensiveYards,AWAYOpponentOffensiveYardsPerPlay,AWAYOpponentPasserRating,AWAYOpponentPassingAttempts,AWAYOpponentPassingCompletions,AWAYOpponentPassingInterceptions,AWAYOpponentPassingTouchdowns,AWAYOpponentPassingYards,AWAYOpponentPassingYardsPerAttempt,AWAYOpponentPassingYardsPerCompletion,AWAYOpponentPenalties,AWAYOpponentPenaltyYards,AWAYOpponentPuntAverage,AWAYOpponentPuntYards,AWAYOpponentPunts,AWAYOpponentQuarterbackHits,AWAYOpponentRedZoneAttempts,AWAYOpponentRedZoneConversions,AWAYOpponentReturnYards,AWAYOpponentRushingAttempts,AWAYOpponentRushingTouchdowns,AWAYOpponentRushingYards,AWAYOpponentRushingYardsPerAttempt,AWAYOpponentSafeties,AWAYOpponentScoreOvertime,AWAYOpponentScoreQuarter1,AWAYOpponentScoreQuarter2,AWAYOpponentScoreQuarter3,AWAYOpponentScoreQuarter4,AWAYOpponentTacklesForLoss,AWAYOpponentTakeaways,AWAYOpponentThirdDownAttempts,AWAYOpponentThirdDownConversions,AWAYOpponentThirdDownPercentage,AWAYOpponentTimeOfPossession,AWAYOpponentTimeOfPossessionMinutes,AWAYOpponentTimeOfPossessionSeconds,AWAYOpponentTimesSacked,AWAYOpponentTimesSackedYards,AWAYOpponentTouchdowns,AWAYOpponentTurnoverDifferential,AWAYPasserRating,AWAYPassingAttempts,AWAYPassingCompletions,AWAYPassingInterceptions,AWAYPassingTouchdowns,AWAYPassingYards,AWAYPassingYardsPerAttempt,AWAYPassingYardsPerCompletion,AWAYPenalties,AWAYPenaltyYards,AWAYPuntAverage,AWAYPuntYards,AWAYPunts,AWAYQuarterbackHits,AWAYRedZoneAttempts,AWAYRedZoneConversions,AWAYReturnYards,AWAYRushingAttempts,AWAYRushingTouchdowns,AWAYRushingYards,AWAYRushingYardsPerAttempt,AWAYSafeties,AWAYScoreOvertime,AWAYScoreQuarter1,AWAYScoreQuarter2,AWAYScoreQuarter3,AWAYScoreQuarter4,AWAYTacklesForLoss,AWAYTakeaways,AWAYThirdDownAttempts,AWAYThirdDownConversions,AWAYThirdDownPercentage,AWAYTimeOfPossession,AWAYTimeOfPossessionMinutes,AWAYTimeOfPossessionSeconds,AWAYTimesSacked,AWAYTimesSackedYards,AWAYTouchdowns,AWAYTurnoverDifferential,AWAYdef_dvoa,AWAYoff_dvoa,AWAYst_dvoa,HOMECompletionPercentage,HOMEFirstDowns,HOMEFirstDownsByPassing,HOMEFirstDownsByPenalty,HOMEFirstDownsByRushing,HOMEFourthDownAttempts,HOMEFourthDownConversions,HOMEFourthDownPercentage,HOMEFumbles,HOMEFumblesLost,HOMEGiveaways,HOMEGoalToGoAttempts,HOMEGoalToGoConversions,HOMEOffensivePlays,HOMEOffensiveYards,HOMEOffensiveYardsPerPlay,HOMEOpponentCompletionPercentage,HOMEOpponentFirstDowns,HOMEOpponentFirstDownsByPassing,HOMEOpponentFirstDownsByPenalty,HOMEOpponentFirstDownsByRushing,HOMEOpponentFourthDownAttempts,HOMEOpponentFourthDownConversions,HOMEOpponentFourthDownPercentage,HOMEOpponentFumbles,HOMEOpponentFumblesLost,HOMEOpponentGiveaways,HOMEOpponentGoalToGoAttempts,HOMEOpponentGoalToGoConversions,HOMEOpponentOffensivePlays,HOMEOpponentOffensiveYards,HOMEOpponentOffensiveYardsPerPlay,HOMEOpponentPasserRating,HOMEOpponentPassingAttempts,HOMEOpponentPassingCompletions,HOMEOpponentPassingInterceptions,HOMEOpponentPassingTouchdowns,HOMEOpponentPassingYards,HOMEOpponentPassingYardsPerAttempt,HOMEOpponentPassingYardsPerCompletion,HOMEOpponentPenalties,HOMEOpponentPenaltyYards,HOMEOpponentPuntAverage,HOMEOpponentPuntYards,HOMEOpponentPunts,HOMEOpponentQuarterbackHits,HOMEOpponentRedZoneAttempts,HOMEOpponentRedZoneConversions,HOMEOpponentReturnYards,HOMEOpponentRushingAttempts,HOMEOpponentRushingTouchdowns,HOMEOpponentRushingYards,HOMEOpponentRushingYardsPerAttempt,HOMEOpponentSafeties,HOMEOpponentScoreOvertime,HOMEOpponentScoreQuarter1,HOMEOpponentScoreQuarter2,HOMEOpponentScoreQuarter3,HOMEOpponentScoreQuarter4,HOMEOpponentTacklesForLoss,HOMEOpponentTakeaways,HOMEOpponentThirdDownAttempts,HOMEOpponentThirdDownConversions,HOMEOpponentThirdDownPercentage,HOMEOpponentTimeOfPossession,HOMEOpponentTimeOfPossessionMinutes,HOMEOpponentTimeOfPossessionSeconds,HOMEOpponentTimesSacked,HOMEOpponentTimesSackedYards,HOMEOpponentTouchdowns,HOMEOpponentTurnoverDifferential,HOMEPasserRating,HOMEPassingAttempts,HOMEPassingCompletions,HOMEPassingInterceptions,HOMEPassingTouchdowns,HOMEPassingYards,HOMEPassingYardsPerAttempt,HOMEPassingYardsPerCompletion,HOMEPenalties,HOMEPenaltyYards,HOMEPuntAverage,HOMEPuntYards,HOMEPunts,HOMEQuarterbackHits,HOMERedZoneAttempts,HOMERedZoneConversions,HOMEReturnYards,HOMERushingAttempts,HOMERushingTouchdowns,HOMERushingYards,HOMERushingYardsPerAttempt,HOMESafeties,HOMEScoreOvertime,HOMEScoreQuarter1,HOMEScoreQuarter2,HOMEScoreQuarter3,HOMEScoreQuarter4,HOMETacklesForLoss,HOMETakeaways,HOMEThirdDownAttempts,HOMEThirdDownConversions,HOMEThirdDownPercentage,HOMETimeOfPossession,HOMETimeOfPossessionMinutes,HOMETimeOfPossessionSeconds,HOMETimesSacked,HOMETimesSackedYards,HOMETouchdowns,HOMETurnoverDifferential,HOMEdef_dvoa,HOMEoff_dvoa,HOMEst_dvoa
NWE,NYJ,30,21,56.035,16.5,11.25,1.75,3.5,0.75,0,0,2.25,1.25,2.5,1.25,0.75,62.25,308,4.8425,51.705,17.75,10.25,1.75,5.75,0.25,0,0,1.5,1,2.5,1.5,1.25,63.25,310.75,4.9275,57.8375,29.75,15.5,1.5,0.5,180.25,5.805,11.555,6.25,47.75,45.18,272,6,6.5,2.25,1.25,47.25,31.25,1.5,130.5,4.18,0,0,8.5,5.75,5.25,4.25,3.5,2.5,12.5,3.25,22.915,1871,30.5,41,2.25,12.75,2.75,0,73.8375,36.5,20.25,1.25,1.5,237,6.455,11.3925,5.75,47.5,41.97,252.25,6,4,3,1.75,59,23,0.5,71,2.9925,0.25,0,5.75,8.25,4.25,6.75,4.25,2.5,13.75,4.75,34.3475,1729,28.5,19,2.75,14.25,2.75,0,-13.8,-12.4,11.1,66.0425,27.5,18.75,2,6.75,1,0.5,25,0,0,1.25,3,2.25,67.5,507.5,7.4875,66.33,25.5,17.5,2.25,5.75,2,1,20,1,0.5,2.25,3.5,2.25,66.25,477.5,7.2275,90.1275,42,27.75,1.75,1.75,368.75,8.8275,13.315,8,66.5,47.1925,174.75,3.5,3.75,4.75,2.5,35.5,22.75,1,108.75,4.715,0,0,4.25,4.25,5,11,2,1.25,12.5,6,48.88,1869,30.5,39,1.5,8,3,-1,110.525,40.75,27.25,1.25,3.25,384.75,9.2825,14.0975,7,67,44.0425,131,3,4.75,5,3.5,49,25.75,1,122.75,4.7075,0,0,8.75,9.25,6,9.75,2.75,2.25,10.5,5.5,50.7375,1731,28.5,21,1,3.5,4.25,1,14.4,36.9,0.5
HOU,OAK,20,25,64.89,23.25,11.75,2.25,9.25,0.5,0.25,25,1,0.5,1.25,2.75,2.25,62.75,407.5,6.4725,57.29,27.25,15,4.75,7.5,1.25,0.5,25,1.25,0.75,1.5,2.25,1.5,67,409.75,6.1025,87.74,41.25,23.75,0.75,2,275.25,6.765,11.8625,6.25,55.75,46.4375,160.25,3.5,2.25,4.25,2.75,64.5,23.25,1.25,134.5,5.425,0,0,4.25,5.75,7.75,10.5,3.25,1.25,11.75,5,42.4525,1771.5,29,31.5,2.5,15.5,3.5,-0.25,88.4575,30.25,19.75,0.75,1,228.75,7.1575,10.925,9.75,89,54.585,236.75,4.25,4.75,3.75,2.5,13.5,32,2.25,178.75,5.62,0,0,2.5,13.5,2.5,9.25,4,1.5,11.75,5.25,40.98,1828.5,30,28.5,0.5,3.25,3.25,0.25,4.4,17.7,-1.6,66.58,20.75,12,0.25,8.5,0.5,0.25,25,0.5,0.25,1,2.5,1.25,64,380,5.935,53.8475,20,12.75,1.75,5.5,0.75,0,0,1,0.75,1.75,1,0.5,58.75,323,5.4225,72.08,33.75,18.75,1,1.25,214.25,6.1575,11.5125,4.5,37.75,51.7475,203,4,3.5,3.75,1.5,33,22,0.75,108.75,4.8425,0,0,0.75,2.5,5.25,9,4,1,11.5,4.5,36.9125,1610.25,26.25,35.25,3,21.5,2,-0.75,99.2275,28.25,18.5,0.75,1.75,231.5,8.02,12.2575,6,56.5,44.0825,171.25,3.75,6.75,4.5,1.5,45,34.25,0.75,148.5,4.35,0,0,10,9,0.75,7,4,1.75,13,5.5,42.91,1989.75,32.75,24.75,1.5,8.75,2.75,0.75,-1.5,6.1,1.2
BUF,PHI,31,24,61.4775,25.5,13,2.25,10.25,1,0.25,12.5,2.25,1.25,2.5,2.5,1.5,68.25,435,6.3875,61.3375,19.25,10.5,2,6.75,1,0.5,16.6675,1,0.5,1,1,0.75,59.75,357.25,6.0225,101.9625,29.75,18,0.5,2.5,217.75,7.5275,12.0975,6.25,44.5,42.08,195,4.75,5.75,2.5,2,18.5,26.25,0.75,139.5,5.33,0,0,7,3.25,6,9,5.25,2.5,12.25,4.5,36.54,1676,27.25,41,3.75,19.5,3.25,1.5,82.0275,36.25,22.5,1.25,1.5,271.25,7.285,11.865,6,50.5,42.395,116.25,2.75,5.5,5.25,2,9,30.25,1,163.75,5.4775,0,0,5.25,9.75,8.5,1.75,5.5,1,12.75,6.25,49.3125,1924,31.75,19,1.75,10.75,2.75,-1.5,10.4,5.5,-2.6,63.1425,23.25,13,2.5,7.75,0.75,0.5,25,0.25,0,1,2.5,2.25,63.25,391.5,6.16,61.87,23.5,14.5,1.25,7.75,0.75,0.75,50,1,0.75,2.75,2.25,2,65,405,6.13,80.215,37.5,23.25,2,2,275.5,7.32,11.9125,5,49,44.435,203.75,4.75,4,3.75,2.5,43.25,26.5,1,129.5,4.965,0,0,4.25,8.75,3.25,7.75,3.25,1,11.5,4.75,41.1875,1721.75,28.25,26.75,1,6.25,3,-1.75,92.19,36.5,23,1,2.25,256,7.0725,11.105,5.25,39.75,50.7825,255.5,5,3,4,3,51.25,26.25,1.25,135.5,5.19,0,0,3.5,9,8.75,12,3.75,2.75,12.5,4.75,37.8225,1878.25,30.75,33.25,0.5,4,4,1.75,-3.1,26.5,-1.2
DEN,SDG,24,29,68.0375,25.75,17.75,2.75,5.25,0.75,0,0,1.75,0.5,2,2.25,1.75,68.5,415.75,6.1275,65.4175,16.75,11,1.25,4.5,0.5,0.25,25,0.25,0,1,1.5,1.25,54.25,297.75,5.3075,84.4625,27.25,18.75,1,1.5,196.25,6.28,9.0225,6.5,66,45.2925,172.75,3.75,3,3.25,2,54,25,0.5,101.5,4.0375,0,0,5.25,6.5,2.5,7,3.75,2,11,4.75,42.9175,1556,25.5,26,2,11.75,2.25,1,87.92,39.25,26.75,1.5,1.25,313.75,8.1225,11.9075,5.5,47.5,43.79,102,2.25,3.5,4.25,2,22,27.25,1.25,102,3.7425,0,0,5.25,4,6,7.5,4.75,1,13.25,7.75,59.155,2044,33.5,34,2,7.75,2.5,-1,1.2,1,-5.1,60.615,20.25,13,2.75,4.5,0.5,0.25,25,1.75,1.25,2.75,2,1.25,61.5,310.75,5.105,68.575,20.25,13.25,1.75,5.25,1,0.25,25,1.25,0.75,1.25,1.75,1.5,63.75,377.75,5.8825,106.585,34.5,24,0.5,2.25,275,7.6,10.9225,9,76.75,48.0425,194.75,4,3.25,4.25,2.75,44.5,27.5,0.75,102.75,3.52,0,0,3.5,10.75,6.5,7,4.25,2.75,13.25,5.75,41.84,1893.75,31,33.75,1.75,14,3.25,1.5,82.955,35.5,21.25,1.5,2,224,6.52,10.755,5.25,46.25,48.82,211,4.25,3,2.75,1.5,48.75,23.75,0.25,86.75,3.575,0,0,5,4.25,6,5,5,1.25,12.75,5.75,44.3775,1706.25,28,26.25,2.25,12.25,2.5,-1.5,3.5,-10.1,2.2
NYG,SEA,25,36,62.395,15.5,9.5,1.75,4.25,0.75,0.5,37.5,1,0.5,1.5,0.5,0.5,57.25,254,4.4875,69.99,20,12,2.5,5.5,0.5,0.25,25,1,0,0.5,2.25,1.25,67,341.5,5.03,91.7825,33,22.75,0.5,0.75,236.5,7.1775,10.2325,4.75,51.25,49.1575,207.25,4.25,9.25,3,1.5,52.25,32.75,1.25,105,3.1925,0,0,3.5,13.25,2.5,5,5.5,1.5,14.25,5.25,34.835,2127.5,35,27.5,1.25,8.5,2.5,1,76.055,33.75,21,1,1.25,186.5,5.4125,8.6275,7.75,54.25,47.8525,308.5,6.5,2.5,2,1.25,29.5,20,0.5,67.5,3.2225,0,0,0.75,2.5,7,4.25,5.25,0.5,13.5,4.75,35.5125,1472.5,24,32.5,3.5,25,1.75,-1,1,-17.4,-4.9,63.8475,18.75,10.25,2,6.5,0.75,0,0,0.75,0.5,1,1.5,1.5,60.5,327.25,5.5025,58.77,20.5,13,1.25,6.25,1.5,1,75,2.5,1,2,2,1.25,68.25,360.75,5.2875,73.1025,36,20.75,1,0.75,244.25,6.79,11.71,7.25,66,44.4275,210.25,4.75,4.25,4.75,2,33,29.25,1.25,116.5,3.8175,0,0,2.25,7.5,8.5,3.5,5,1,14.75,5,33.6025,1908.5,31,48.5,3,26.75,2.25,-1,101.045,31,19.75,0.5,2,239.75,7.87,12.305,6,48.5,44.1925,245,5.5,5.5,2.5,2,26.5,26.75,1.25,87.5,3.3025,0,0,7,7.75,1.75,9,6.25,2,12.5,4.25,32.7875,1691.5,28,11.5,2.75,21,3.5,1,-5,5.7,-3.7
SFO,TAM,48,3,66.715,20.25,12.75,1.25,6.25,1.25,1,62.5,1,0.25,1.25,1.25,0.75,65.25,352.75,5.4375,57.845,21,14,1.5,5.5,0.5,0.25,25,2.25,1,1.5,1.75,1,62.75,368,5.875,92.2375,35,20.25,0.5,1.5,267,7.78,13.8825,7.25,58.25,41.2775,191.5,4.5,3.25,3.25,1.25,27.75,25.25,0.5,101,3.67,0,0,4,8.5,3.5,3.25,4.5,1.25,12,4,33.215,1725.75,28.5,15.75,2.5,19,2,-0.25,78.96,37,24.5,1,0.75,235.75,6.4275,9.63,8.75,66,46.2375,198.25,4.25,3,3.5,1.25,24.75,26.75,1.25,117,4.3875,0,0,3.25,5,5.75,7,6.25,1.5,14.25,6.25,44.52,1874.25,30.75,29.25,1.5,8.25,2.25,0.25,14.7,1.6,5.9,67.995,16,8.5,2,5.5,0.25,0,0,1.5,0.5,0.75,1.5,0.75,57.75,270.75,4.6525,58.895,18.75,13.25,1,4.5,0.5,0.5,50,2.25,1.25,2.75,1.75,0.75,62.75,358,5.6025,77.3975,39.5,23.5,1.5,1.75,284,6.895,11.515,7.5,62.5,46.5375,235,5,5.25,3.5,1,27,21,0,74,3.5775,0.25,0.75,2.5,5,4.25,6.25,6.75,0.75,13,4.25,31.1625,1752.75,28.75,27.75,2.25,16.5,1.75,-2,93.475,26.75,18,0.25,1,177.5,6.4975,9.64,7.75,59.25,52.535,287,5.5,5.25,3,1.5,51.5,27.5,1,93.25,3.505,0,0,0,8.25,6,9.25,4.5,2.75,13.75,4.75,33.3325,1890.5,31,30.5,3.5,21.25,2.5,2,-15.5,0.1,12
PIT,TEN,38,17,63.9525,16,12,1,3,0.75,0.75,50,1,0.5,1.25,1,0.75,57.75,347.25,6.035,61.205,19.75,13.25,2.25,4.25,1.5,0.5,10,1.25,0.5,1.75,1.25,0.5,68.75,299.75,4.3175,70.97,39,24,1.25,1,212,5.5675,9.2875,4.5,34.5,44.1375,211,4.75,2.5,1.75,0.75,24,27.25,0.25,87.75,3.1275,0,0,4.25,4,2.5,3.25,3.5,1.25,15.75,7,43.3325,1946.25,32,26.25,2.5,11.75,1.25,-0.5,102.2325,33.25,22,0.75,2,280.5,8.6275,14.18,7.25,63.75,41.185,205.75,5,5.25,2.75,1.75,55.5,23.5,0.25,66.75,2.8425,0,0,1.75,8.5,6.75,5,4.25,1.75,13.75,5.75,41.05,1653.75,27,33.75,1,7.5,2.5,0.5,-6.3,10.1,-4.6,62.1875,20.5,13.75,1.5,5.25,0.75,0,0,1.5,1.5,2.75,1.5,1,63.5,359.25,5.6225,59.815,14,8.75,0.5,4.75,0.75,0.25,12.5,0.5,0.25,0.25,1,0.5,56.5,277,4.8425,87.61,29.75,17.25,0,1,157.5,5.5425,9.29,6.25,56.5,46.69,291.75,6.25,5.25,2.75,1.25,18.25,25,0.75,119.5,4.405,0,0,5.25,5.75,2.75,4.25,4.5,2.75,14,5.5,38.5425,1673,27.5,23,1.75,11,2,2.5,78.98,34.75,21.5,1.25,0.75,265.5,7.6825,12.215,4.75,46,49.7275,175,3.5,4.5,2.75,1,44.25,25.25,0.75,93.75,3.855,0,0,4.25,4.25,3.5,4,3.25,0.25,12.75,6,45.415,1927,31.5,37,3.5,25.25,1.75,-2.5,-6.2,5.4,0.2
DET,CHI,24,13,55.1675,15.5,10.25,1.25,4,0.75,0.25,25,2,0.25,1.25,1.75,1,57,307.75,5.465,67.1525,21,14,1.25,5.75,1,0.5,37.5,1.25,1,1.75,1.25,1,68.5,425.75,6.1925,95.9875,42,28,0.75,1.75,301.5,7.205,10.8325,7.75,48.25,40.4675,182.25,4.5,5.75,4,2,29,24.5,0.5,124.25,5.47,0,0,4,10,3.25,7.25,7.5,1.25,13.75,4.75,33.24,2008.25,33,28.25,2,13.5,2.5,-0.5,71.835,32.75,17.75,1,1.25,211.5,6.535,11.625,7.25,54.5,43.3925,273.25,6.25,3.75,2.5,1.25,32,20.5,0.5,96.25,4.1425,0,0,6.75,8.25,4.25,4.25,4.5,1.75,12.5,3.5,27.2925,1591.75,26,31.75,3.75,28.5,2.5,0.5,7.5,-17.6,9.2,62.785,21.25,14.5,2.5,4.25,0.75,0.75,50,1.5,0,0.75,2,1.5,67,375.75,5.5925,65.4275,17.5,12.5,1.25,3.75,1.25,0.25,12.5,2,1,2.75,1.25,0.5,64,334.25,5.1875,70.94,38,25,1.75,1.25,221.25,5.6875,8.6725,7.75,55.25,47.4925,221.75,4.75,4.75,3.75,1.25,37.5,23.75,0.25,113,4.66,0,0,6.5,7.5,2.5,2.5,4.75,0.75,13,4.25,32.0175,1735,28.25,40,2.25,14,1.75,-2,101.11,40.5,25.25,0.75,2.75,301.25,7.555,12.03,7.25,60.75,44.875,258.5,5.75,3.5,3.75,2.25,56,25.25,0.5,74.5,2.8325,0,0.75,3.25,7.5,9.5,12.75,3,2.75,14,4.5,30.865,1894.75,31.25,19.75,1.25,10,3.75,2,-11.5,0.2,-2.8
NYG,BUF,27,24,66.07,22.8,12.4,2.4,8,0.6,0.4,20,0.2,0,1,2.4,2.2,63.2,379.4,5.978,62.496,23.6,14.8,1.2,7.6,0.8,0.8,60,1,0.8,3.2,2.4,2,64,421.8,6.534,77.406,38,23.8,2.4,2,283.4,7.432,11.954,5,48.4,42.748,177.4,4.2,4.2,3.6,2.4,42,25,1,138.4,5.804,0,0,3.4,8.4,4,8.2,4,1,11,4.2,37.394,1693.8,27.8,25.8,1,5,3,-2.2,92.268,34.6,22.6,1,2,242.4,7.05,10.674,5,39.8,50.666,254.6,5,3.6,4,3,51.4,28,1.4,137,4.97,0,0,4.2,10,9,9.6,3.6,3.2,12.8,5,38.83,1906.2,31.2,34.2,0.6,4.2,4,2.2,3.2,23.3,-0.9,63.386,19.2,11.4,1.8,6,0.6,0,0,1.2,0.8,1.8,1.6,1.2,61.8,354.6,5.788,59.698,20.8,13.2,1.2,6.4,1.4,1,80,2.6,1.2,2.2,2,1.2,69.8,373.4,5.346,76.354,37,21.8,1,1,251.2,6.792,11.514,7.8,66.8,44.456,230.6,5.2,3.8,4.6,2,62.4,29.2,1.2,122.2,4.054,0.2,0,4.6,6,7.2,6.8,5.2,1.8,14.8,4.8,32.216,1872,30.4,48,3.6,28.6,2.6,-0.4,98.668,32.6,20.6,1,2.2,270.8,8.322,13.136,6.2,49.2,45.154,264.6,5.8,6.2,2.8,2,23.6,26.4,1,83.8,3.194,0,0,7,7.6,1.4,9.4,6.4,2.2,12.4,3.6,27.896,1728,28.6,12,2.8,21.8,3.4,0.4,-5.3,12.2,-3.9
ATL,CAR,31,17,57.796,22.4,13.2,2,7.2,0.8,0.2,10,0.6,0.2,1.4,1.8,1.4,65.4,428.2,6.514,62.238,17.2,9.6,1.4,6.2,0.8,0.4,30,1.6,0.4,1,1.8,1,57.4,366.2,6.452,92.072,28,18,0.6,1.4,231,7.998,12.744,7,61,40.784,161.4,4,3.4,3.2,1.4,46.4,27.8,1,135.2,4.892,0,0,5.4,8.2,5.2,7.6,3.6,1.4,13,5.6,41.072,1755.2,28.8,27.2,1.6,12.4,3,0.4,83.748,38.8,22.6,1.2,1.4,311.6,7.902,13.508,7.8,62,40.134,176.4,4.4,2,3.6,1.8,19.8,24.8,1.2,116.6,4.76,0.2,0,5.6,7.4,3.4,6.8,4.4,1,12.8,4.8,37.184,1844.8,30.2,32.8,1.8,10.4,2.6,-0.4,18,6.6,-11.2,60.982,20.8,14.4,1.8,4.6,0.4,0,0,0.8,0.8,2,2,1.6,65.2,338.4,5.164,68.046,20.6,12.2,2,6.4,0.4,0.2,20,1.4,0.6,1.8,2.2,1.2,63,383.4,6.136,94.954,35.6,24.2,1.2,1.8,294.2,8.2,12.07,6.6,47.4,45.584,166,3.6,6.4,3.8,1.6,31,25.6,0.8,89.2,3.452,0,0,2.6,7.8,12.2,3.4,5.6,2,13.4,6.2,46.642,1827,30,27,1.8,10,2.8,0.2,76.526,39.2,24,1.2,1.4,239.6,6.078,9.98,6.4,50.2,36.12,174.8,4.8,6.2,3,2,32.4,23.2,0.8,98.8,4.46,0,0,4.8,6.8,2.6,6.6,5,1.8,13.2,5.8,43.416,1773,29,33,2.8,20.8,2.4,-0.2,-4.1,4.9,-1
