Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
WAS,1991,1,55.90%,55.90%,-72.10%,-72.10%,20.70%,20.70%
DEN,1991,1,63.70%,63.70%,-34.60%,-34.60%,-23.80%,-23.80%
PHI,1991,1,-30.30%,-30.30%,-78.80%,-78.80%,-0.70%,-0.70%
HOU,1991,1,13.30%,13.30%,-23.20%,-23.20%,7.50%,7.50%
CHI,1991,1,15.70%,15.70%,-33.60%,-33.60%,-6.20%,-6.20%
STL,1991,1,36.50%,36.50%,-7.40%,-7.40%,-3.40%,-3.40%
CLE,1991,1,56.40%,56.40%,20.60%,20.60%,-5.00%,-5.00%
NYJ,1991,1,13.30%,13.30%,-8.20%,-8.20%,3.20%,3.20%
NE,1991,1,-5.70%,-5.70%,-25.40%,-25.40%,4.60%,4.60%
KC,1991,1,-18.50%,-18.50%,-44.30%,-44.30%,-5.40%,-5.40%
BUF,1991,1,69.00%,69.00%,37.50%,37.50%,-19.50%,-19.50%
SD,1991,1,-4.90%,-4.90%,-19.60%,-19.60%,-3.90%,-3.90%
PIT,1991,1,-20.20%,-20.20%,-8.60%,-8.60%,16.50%,16.50%
NYG,1991,1,1.60%,1.60%,2.50%,2.50%,5.20%,5.20%
SF,1991,1,2.60%,2.60%,-4.00%,-4.00%,-8.50%,-8.50%
MIA,1991,1,45.20%,45.20%,56.80%,56.80%,0.00%,0.00%
SEA,1991,1,-22.20%,-22.20%,-13.30%,-13.30%,-4.50%,-4.50%
DAL,1991,1,23.90%,23.90%,43.80%,43.80%,1.20%,1.20%
NO,1991,1,-33.80%,-33.80%,-6.10%,-6.10%,3.80%,3.80%
ATL,1991,1,-48.80%,-48.80%,-21.20%,-21.20%,0.60%,0.60%
TB,1991,1,-5.60%,-5.60%,5.80%,5.80%,-17.70%,-17.70%
ARI,1991,1,-1.40%,-1.40%,30.20%,30.20%,-0.40%,-0.40%
IND,1991,1,-24.70%,-24.70%,-4.80%,-4.80%,-24.80%,-24.80%
GB,1991,1,-79.90%,-79.90%,-22.80%,-22.80%,10.50%,10.50%
MIN,1991,1,-37.30%,-37.30%,11.60%,11.60%,-4.70%,-4.70%
OAK,1991,1,-43.40%,-43.40%,29.20%,29.20%,-7.30%,-7.30%
CIN,1991,1,-34.80%,-34.80%,49.20%,49.20%,3.20%,3.20%
DET,1991,1,-76.20%,-76.20%,56.70%,56.70%,-16.70%,-16.70%
WAS,1991,2,34.50%,34.50%,-17.80%,-17.80%,20.90%,20.90%
DEN,1991,2,47.00%,47.00%,-17.00%,-17.00%,-18.60%,-18.60%
CLE,1991,2,24.10%,24.10%,-17.20%,-17.20%,2.50%,2.50%
HOU,1991,2,21.40%,21.40%,-7.70%,-7.70%,4.40%,4.40%
CHI,1991,2,7.60%,7.60%,-25.50%,-25.50%,-2.90%,-2.90%
BUF,1991,2,54.40%,54.40%,14.30%,14.30%,-18.90%,-18.90%
STL,1991,2,9.50%,9.50%,-5.00%,-5.00%,4.50%,4.50%
