AWAYscore,HOMEscore
0.3559322034,0.3225806452
0.3389830508,0
0.2203389831,0.2580645161
0.2372881356,0.3709677419
0.5084745763,0.1129032258
0.1016949153,0.2741935484
0.3220338983,0.2096774194
0.3389830508,0.3064516129
0.2881355932,0.1612903226
0.2203389831,0.3225806452
0.4406779661,0.1612903226
0.5762711864,0.8387096774
0.2372881356,0.5483870968
0.5593220339,0.5
0.2203389831,0.1612903226
0.3898305085,0.3225806452
0.2203389831,0.2258064516
0,0.2580645161
0.1186440678,0.3870967742
0.2203389831,0.2741935484
0.1016949153,0.3225806452
0.2881355932,0.3225806452
0.406779661,0
0,0.5483870968
0.1694915254,0.2580645161
0.2372881356,0.2741935484
0.2203389831,0.2419354839
0.1186440678,0.2741935484
0.2881355932,0.1612903226
0.1694915254,0.2096774194
0.2881355932,0.1451612903
0.5593220339,0.3870967742
0.2203389831,0.2580645161
0.3389830508,0.3870967742
0.2881355932,0.3387096774
0.1694915254,0.435483871
0,0.4193548387
0.2372881356,0.3709677419
0.3220338983,0.435483871
0.2203389831,0.3225806452
0.5762711864,0.435483871
0.2203389831,0.3064516129
0.3389830508,0.564516129
0.2203389831,0.0967741935
0.3559322034,0.3709677419
0.0508474576,0.5
0.2372881356,0.2096774194
0.3898305085,0.6612903226
0.1694915254,0.3870967742
0.4576271186,0.0967741935
0.2711864407,0.3387096774
0.1016949153,0.1935483871
0.0508474576,0.5
0,0.3709677419
0.3389830508,0.2741935484
0.2372881356,0.6774193548
0.3389830508,0.1612903226
0.3389830508,0.3870967742
0.2881355932,0.2258064516
0.2203389831,0.2258064516
0.1525423729,0.3225806452
0.3559322034,0.0483870968
0.3559322034,0.2096774194
0.2203389831,0.1129032258
0.3389830508,0.1129032258
0.1016949153,0.5322580645
0.6610169492,0.5483870968
0.3898305085,0.564516129
0.2881355932,0.6774193548
0.3898305085,0.3225806452
0.1016949153,0.6774193548
0.3898305085,0.3225806452
0.1186440678,0.6774193548
0.2203389831,0.0967741935
0.1186440678,0.5483870968
0.406779661,0.4838709677
0.3898305085,0.3225806452
0.1694915254,0
0.1694915254,0.2580645161
0.5084745763,0.3870967742
0.0508474576,0.564516129
0.2881355932,0.2096774194
0.2711864407,0.3064516129
0.2881355932,0.3225806452
0.3898305085,0.4193548387
0.2881355932,0.0967741935
0.4576271186,0.1129032258
0.1186440678,0.3709677419
0.2711864407,0.564516129
0.3389830508,0.2741935484
0.0508474576,0.564516129
0.1694915254,0.5483870968
0.1525423729,0.0967741935
0.4576271186,0
0.2372881356,0.5
0.4745762712,0
0.2372881356,0.2741935484
0.1525423729,0.3225806452
0.3898305085,0.1129032258
0.2881355932,0.2096774194
0.3559322034,0.3870967742
0.3559322034,0.3709677419
0.1694915254,0.3225806452
0.2711864407,0.3064516129
0.2203389831,0.2580645161
0.1694915254,0.0967741935
0.2881355932,0.3548387097
0.406779661,0.2741935484
0.1186440678,0.435483871
0.2203389831,0.3225806452
0.2372881356,0.2741935484
0.2203389831,0.4516129032
0.1186440678,0.4838709677
0.2881355932,0.9032258065
0.5762711864,0.3870967742
0.3898305085,0.4193548387
0.3559322034,0.4838709677
0.4745762712,0.435483871
0.4576271186,0.3225806452
0.2881355932,0.2580645161
0.3389830508,0.4838709677
0.3559322034,0.2258064516
0.5423728814,0.4838709677
