Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
SEA,2014,1,43.30%,43.30%,-18.30%,-18.30%,-0.60%,-0.60%
MIN,2014,1,17.10%,17.10%,-33.20%,-33.20%,6.40%,6.40%
DET,2014,1,28.10%,28.10%,-42.60%,-42.60%,-15.40%,-15.40%
TEN,2014,1,18.50%,18.50%,-40.70%,-40.70%,-5.10%,-5.10%
SF,2014,1,44.40%,44.40%,-8.90%,-8.90%,0.30%,0.30%
CAR,2014,1,2.30%,2.30%,-43.90%,-43.90%,-11.10%,-11.10%
ATL,2014,1,45.50%,45.50%,17.80%,17.80%,5.90%,5.90%
NYJ,2014,1,-7.40%,-7.40%,-31.20%,-31.20%,6.00%,6.00%
DEN,2014,1,30.80%,30.80%,-10.50%,-10.50%,-12.20%,-12.20%
BUF,2014,1,17.80%,17.80%,3.50%,3.50%,12.90%,12.90%
CIN,2014,1,8.40%,8.40%,-9.90%,-9.90%,8.20%,8.20%
PIT,2014,1,34.80%,34.80%,16.50%,16.50%,7.10%,7.10%
MIA,2014,1,5.30%,5.30%,-16.10%,-16.10%,-0.80%,-0.80%
PHI,2014,1,-17.60%,-17.60%,-15.20%,-15.20%,7.10%,7.10%
ARI,2014,1,-2.10%,-2.10%,-23.40%,-23.40%,-18.40%,-18.40%
CHI,2014,1,12.70%,12.70%,11.20%,11.20%,0.20%,0.20%
CLE,2014,1,28.70%,28.70%,26.30%,26.30%,-4.10%,-4.10%
JAC,2014,1,-12.00%,-12.00%,-23.20%,-23.20%,-18.30%,-18.30%
HOU,2014,1,-14.40%,-14.40%,1.80%,1.80%,-3.50%,-3.50%
NE,2014,1,-5.80%,-5.80%,6.20%,6.20%,-11.50%,-11.50%
BAL,2014,1,-2.60%,-2.60%,3.80%,3.80%,-19.10%,-19.10%
WAS,2014,1,-14.10%,-14.10%,-8.80%,-8.80%,-20.40%,-20.40%
NO,2014,1,18.80%,18.80%,53.30%,53.30%,7.20%,7.20%
IND,2014,1,-7.20%,-7.20%,22.10%,22.10%,-1.60%,-1.60%
OAK,2014,1,-35.90%,-35.90%,-4.90%,-4.90%,-3.40%,-3.40%
SD,2014,1,-33.20%,-33.20%,9.60%,9.60%,5.20%,5.20%
GB,2014,1,-7.30%,-7.30%,30.60%,30.60%,0.30%,0.30%
TB,2014,1,-40.70%,-40.70%,3.90%,3.90%,1.10%,1.10%
KC,2014,1,-39.10%,-39.10%,19.10%,19.10%,7.50%,7.50%
DAL,2014,1,-18.70%,-18.70%,39.90%,39.90%,-10.10%,-10.10%
NYG,2014,1,-47.70%,-47.70%,31.60%,31.60%,1.00%,1.00%
STL,2014,1,-60.20%,-60.20%,30.80%,30.80%,-1.80%,-1.80%
DEN,2014,2,41.30%,41.30%,-9.20%,-9.20%,-3.70%,-3.70%
WAS,2014,2,11.60%,11.60%,-37.80%,-37.80%,-9.10%,-9.10%
BUF,2014,2,12.30%,12.30%,-4.70%,-4.70%,16.80%,16.80%
CIN,2014,2,22.60%,22.60%,-14.90%,-14.90%,-4.40%,-4.40%
SEA,2014,2,38.40%,38.40%,7.00%,7.00%,-2.20%,-2.20%
CAR,2014,2,3.10%,3.10%,-26.80%,-26.80%,-3.80%,-3.80%
DET,2014,2,11.80%,11.80%,-25.20%,-25.20%,-13.20%,-13.20%
ARI,2014,2,-3.90%,-3.90%,-22.10%,-22.10%,5.50%,5.50%
NE,2014,2,-6.50%,-6.50%,-25.20%,-25.20%,2.90%,2.90%
PHI,2014,2,1.80%,1.80%,-18.60%,-18.60%,-3.70%,-3.70%
CHI,2014,2,10.80%,10.80%,-8.70%,-8.70%,-5.10%,-5.10%
GB,2014,2,10.70%,10.70%,9.00%,9.00%,8.50%,8.50%
BAL,2014,2,1.10%,1.10%,-10.70%,-10.70%,-5.10%,-5.10%
TEN,2014,2,-1.90%,-1.90%,-11.00%,-11.00%,-3.60%,-3.60%
SF,2014,2,3.50%,3.50%,0.60%,0.60%,0.80%,0.80%
ATL,2014,2,18.20%,18.20%,20.70%,20.70%,4.40%,4.40%
CLE,2014,2,22.20%,22.20%,23.90%,23.90%,3.30%,3.30%
