Date,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential
9/4/14 20:30,2014,1,GB,SEA,AWAY,16,36,52,CenturyLink Field,Artificial,71,52,11,47,4.5,7,3,0,6,0,26,40,26:40:00,19,4,13,2,57,255,4.5,2,21,80,3.8,1,33,23,175,1,1,5.3,7.6,69.7,79.73,12,6,50,1,0,0,3,2,3,2,0,8,65,1,0,3,14,1,1,0,4,153,38.2,1,1,0,3,14,5,14,0,33,20,33:20:00,25,13,8,4,66,398,6,4,37,207,5.6,2,28,19,191,2,0,6.8,10.1,67.9,110.86,11,4,36.4,1,1,100,5,3,3,2,24,4,69,2,1,1,0,4,5,1,2,66,33,1,1,0
9/7/14 13:00,2014,1,BUF,CHI,AWAY,23,20,43,Soldier Field,Grass,74,45,3,47,7,7,10,0,3,3,30,32,30:32:00,15,7,8,0,56,360,6.4,2,33,193,5.8,1,22,16,167,1,1,7.6,10.4,72.7,90.53,12,4,33.3,0,0,0,4,2,3,2,91,9,108,1,0,1,6,3,3,0,5,215,43,1,3,2,7,0,10,3,0,34,42,34:42:00,29,5,19,5,69,427,6.2,2,18,86,4.8,0,49,34,341,2,2,7,10,69.4,85.5,12,5,41.7,0,0,0,3,2,0,0,4,4,43,1,1,2,8,2,3,0,4,160,40,3,1,-2
9/7/14 13:00,2014,1,CIN,BAL,AWAY,23,16,39,M&T Bank Stadium,Artificial,74,45,8,43.5,1,6,9,0,8,0,30,30,30:30:00,16,4,11,1,64,380,5.9,1,26,79,3,0,38,25,301,1,0,7.9,12,65.8,98.68,14,4,28.6,0,0,0,2,0,1,0,46,4,45,0,0,0,0,7,4,0,4,151,37.8,0,2,2,0,0,7,9,0,29,30,29:30:00,26,8,16,2,85,420,4.9,2,20,91,4.6,1,62,35,329,1,1,5.3,9.4,56.5,69.89,17,8,47.1,2,1,50,3,1,0,0,2,3,29,2,1,3,16,0,1,0,4,169,42.2,2,0,-2
9/7/14 13:00,2014,1,CLE,PIT,AWAY,27,30,57,Heinz Field,Grass,71,55,6,41.5,5.5,3,0,14,10,0,27,33,27:33:00,23,9,11,3,64,389,6.1,3,30,183,6.1,2,31,19,206,1,0,6.6,10.8,61.3,91.6,11,2,18.2,0,0,0,5,3,2,2,0,8,55,0,0,3,24,4,6,0,7,314,44.9,0,1,1,10,17,0,3,0,32,27,32:27:00,24,6,16,2,67,490,7.3,3,28,127,4.5,2,35,24,363,1,1,10.4,15.1,68.6,100.06,12,4,33.3,1,1,100,3,1,1,0,46,11,96,1,0,4,27,5,8,0,6,262,43.7,1,0,-1
9/7/14 13:00,2014,1,JAX,PHI,AWAY,17,34,51,Lincoln Financial Field,Grass,75,51,9,48.5,10,14,3,0,0,0,29,14,29:14:00,18,2,14,2,71,306,4.3,2,25,64,2.6,0,43,24,242,2,0,5.6,10.1,55.8,87.55,14,2,14.3,1,0,0,1,0,0,0,28,7,55,1,1,3,24,4,11,0,8,372,46.5,1,3,2,0,0,14,20,0,30,46,30:46:00,24,7,14,3,82,420,5.1,4,32,145,4.5,1,45,27,275,2,1,6.1,10.2,60,83.1,19,8,42.1,1,1,100,2,0,1,0,79,6,50,2,2,5,47,4,6,0,6,230,38.3,3,1,-2
9/7/14 13:00,2014,1,MIN,STL,AWAY,34,6,40,Edward Jones Dome,Dome,70,50,0,43.5,2.5,3,10,7,14,0,28,17,28:17:00,18,6,10,2,56,346,6.2,4,30,186,6.2,1,25,17,160,2,0,6.4,9.4,68,112.08,11,3,27.3,0,0,0,2,2,1,1,68,7,60,1,0,1,10,8,7,0,5,237,47.4,0,2,2,0,0,3,3,0,31,43,31:43:00,15,4,10,1,63,318,5,0,22,72,3.3,0,36,24,246,0,2,6.8,10.2,66.7,62.96,14,4,28.6,0,0,0,1,0,0,0,10,13,121,4,0,5,27,4,5,0,6,279,46.5,2,0,-2
9/7/14 13:00,2014,1,NE,MIA,AWAY,20,33,53,Sun Life Stadium,Grass,89,61,0,46.5,-4,10,10,0,0,0,29,33,29:33:00,20,7,12,1,80,315,3.9,2,20,89,4.4,1,56,29,226,1,0,4,7.8,51.8,68.01,17,5,29.4,4,2,50,2,2,2,2,15,9,100,3,2,4,23,2,3,0,6,241,40.2,2,3,1,7,3,13,10,0,30,27,30:27:00,25,11,10,4,71,360,5.1,3,38,191,5,1,32,18,169,2,1,5.3,9.4,56.2,78.78,13,7,53.8,0,0,0,6,3,3,2,22,4,26,3,2,1,9,6,3,0,2,100,50,3,2,-1
9/7/14 13:00,2014,1,NO,ATL,AWAY,34,37,71,Georgia Dome,Dome,70,50,0,51,-3,6,14,0,14,0,30,25,30:25:00,30,9,17,4,70,472,6.7,4,28,139,5,3,42,29,333,1,1,7.9,11.5,69,90.67,13,8,61.5,0,0,0,6,4,4,4,0,3,27,1,1,0,0,3,1,0,2,101,50.5,2,1,-1,0,10,14,10,3,31,18,31:18:00,28,6,21,1,69,568,8.2,4,25,123,4.9,1,43,31,445,3,0,10.3,14.4,72.1,128.54,11,6,54.5,0,0,0,3,3,2,2,1,10,96,1,1,1,3,0,1,0,3,157,52.3,1,2,1
9/7/14 13:00,2014,1,OAK,NYJ,AWAY,14,19,33,MetLife Stadium,Artificial,76,47,12,41,6.5,7,0,0,7,0,25,10,25:10:00,11,2,7,2,49,158,3.2,2,15,25,1.7,0,32,20,133,2,0,4.2,6.6,62.5,92.32,12,3,25,0,0,0,1,1,0,0,9,4,20,1,0,2,18,1,6,0,9,401,44.6,0,2,2,3,7,3,6,0,34,50,34:50:00,20,10,9,1,65,402,6.2,2,34,212,6.2,1,29,23,190,1,1,6.6,8.3,79.3,91.09,12,5,41.7,0,0,0,4,1,1,0,15,11,105,2,1,2,31,3,4,0,5,221,44.2,2,0,-2
9/7/14 13:00,2014,1,TEN,KC,AWAY,26,10,36,Arrowhead Stadium,Grass,69,57,7,44.5,3,0,10,10,6,0,37,44,37:44:00,24,5,18,1,75,405,5.4,2,38,162,4.3,0,33,22,243,2,0,7.4,11,66.7,108.52,16,7,43.8,0,0,0,4,2,1,1,10,12,110,1,0,4,23,5,6,0,6,304,50.7,0,3,3,0,3,0,7,0,22,16,22:16,15,1,11,3,56,245,4.4,1,17,67,3.9,0,35,19,178,1,3,5.1,9.4,54.3,42.32,12,1,8.3,2,1,50,2,1,1,1,47,3,25,0,0,4,24,8,4,0,5,213,42.6,3,0,-3
